review_id,platform,review_text_raw,label,label_reason,annotator,annotated_at,store_or_product_name,rating,has_photo,event_flag_raw,reorder_count_raw,notes
km_10509859-리뷰어-이름-2025-06-24-언제나-최고임,kakaomap,언제나 최고임,,,,,포레스트 리솜,5,1,,,
km_10509859-리뷰어-이름-2025-09-17-비수기에-갔어서-인스타와-같은-풍경은-아녔지만-그냥-성인이-놀기에-좋았습니다-가격대비-위치가-쏘쏘,kakaomap,비수기에 갔어서 인스타와 같은 풍경은 아녔지만 그냥 성인이 놀기에 좋았습니다~ 가격대비 위치가 쏘쏘,,,,,포레스트 리솜,4,0,,,
km_10509859-리뷰어-이름-2025-07-15-친구들과-1박2일동안-즐거운-시간보냈습니다-뷰가-너무-좋아서-산책하기-좋았습니다-다만-여름철-수영장-이용시-무-조-건-신발-챙겨가세요,kakaomap,친구들과 1박2일동안 즐거운 시간보냈습니다. 뷰가 너무 좋아서 산책하기 좋았습니다. 다만 ㅠ 여름철 수영장 이용시 무.조.건. 신발 챙겨가세요 ㅜㅜㅠㅠㅠ... 더보기,,,,,포레스트 리솜,4,0,,,
km_10509859-리뷰어-이름-2025-06-21-예전부터-너무-가보고-싶은-리조트였는데-드디어-이번에-다녀왔어요-기대가-크면-실망하는-경우가-많은데-시설이나-뷰는-기대이상으로-너무-좋았,kakaomap,예전부터 너무 가보고 싶은 리조트였는데 드디어 이번에 다녀왔어요~ 기대가 크면 실망하는 경우가 많은데 시설이나 뷰는 기대이상으로 너무 좋았... 더보기,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-06-12-조용해요-내부시설도-좋구요-내부식당들-가격이-내렸으면-하지만-사악한-가격은-아닙니다,kakaomap,조용해요 내부시설도 좋구요 내부식당들 가격이 내렸으면 하지만 사악한 가격은 아닙니다 ^^,,,,,포레스트 리솜,4,0,,,
km_10509859-리뷰어-이름-2025-06-10-리조트-많이-가봤지만-정말-굿굿-좋았습니다-또-방문하고-싶어요,kakaomap,리조트 많이 가봤지만 정말 굿굿!! 좋았습니다 또 방문하고 싶어요~,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-05-15-가족-연인-부모님-그-누구랑-와도-좋을곳-아닌가-싶네요,kakaomap,가족 연인 부모님 그 누구랑 와도 좋을곳 아닌가 싶네요,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-05-13-너무-힐링되는곳이였어요-다시-꼭-방문하고-싶습니다,kakaomap,너무 힐링되는곳이였어요👍🏻 다시 꼭 방문하고 싶습니다,,,,,포레스트 리솜,5,1,,,
km_10509859-리뷰어-이름-2025-04-23-숙소-청소-관리를-신경쓰면-좋겠음-특히-이부자리-세탁한건지-의문이-드는-부분이-있음-실내-바닥청소를-신경썼으면-합니다,kakaomap,숙소 청소 관리를 신경쓰면 좋겠음. 특히 이부자리 세탁한건지 의문이 드는 부분이 있음. 실내 바닥청소를 신경썼으면 합니다.,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-04-02-꽃피고-갔으면-더-좋았을듯,kakaomap,꽃피고 갔으면 더 좋았을듯,,,,,포레스트 리솜,4,0,,,
km_10509859-리뷰어-이름-2025-03-30-숙박시설도-스파도-체험이나-산책공간도-너무너무-좋았어요,kakaomap,숙박시설도 스파도 체험이나 산책공간도 너무너무 좋았어요^^!!,,,,,포레스트 리솜,5,1,,,
km_10509859-리뷰어-이름-2025-03-18-아기랑-방문하기-좋은-시스템입니다-키즈카페도-있고-오락시설도-있어서-지루하지-않게-보낼-수-있어요,kakaomap,아기랑 방문하기 좋은 시스템입니다 키즈카페도 있고 오락시설도 있어서 지루하지 않게 보낼 수 있어요,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-03-15-평일-스파-패키지-이용-제천역-시내에서-택시로-20여분-소요-스파-건물-지하-6층-주차장에서-택시-픽업-배달-음식-픽업-가능,kakaomap,평일 스파 패키지 이용. 제천역 시내에서 택시로 20여분 소요. 스파 건물 지하 6층 주차장에서 택시 픽업 / 배달 음식 픽업 가능.,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-03-09-취사가-안되어-아쉽지만-양호했습니다,kakaomap,취사가 안되어 아쉽지만 양호했습니다.,,,,,포레스트 리솜,4,0,,,
km_10509859-리뷰어-이름-2025-03-05-부모님-아이-함께가기-좋은-곳-야외-온수풀이-인기네요,kakaomap,부모님 아이 함께가기 좋은 곳. 야외 온수풀이 인기네요.,,,,,포레스트 리솜,5,0,,,
km_10509859-리뷰어-이름-2025-01-22-두번째-방문였고요-지난번에는-포레스트-빌라동을-이용했고-이번에는-레스트리를-더보기,kakaomap,"두번째 방문였고요. 지난번에는 포레스트 빌라동을 이용했고, 이번에는 레스트리를... 더보기",,,,,포레스트 리솜,5,1,,,
km_25547664-리뷰어-이름-2026-02-04-여기-빵-진짜-맛있는데-남직원분이-긴-손톱으로-제-바게트를-누르셔서-깜짝놀램-손톱을-깎든지-위생장갑을-끼시든지-직원분들-위생교육이-시급해보여요,kakaomap,여기 빵 진짜 맛있는데 남직원분이 긴 손톱으로 제 바게트를 누르셔서 깜짝놀램 손톱을 깎든지 위생장갑을 끼시든지 직원분들 위생교육이 시급해보여요,,,,,데조로의집,2,1,,,
km_25547664-리뷰어-이름-2024-12-14-인생-빵집-no-1-모든-빵이-인생-작-더보기,kakaomap,인생 빵집 no.1 모든 빵이 인생 작... 더보기,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2026-02-12-초코케이크-체리-절임이-진짜-맛나요-생크림도-안느끼하고-초코시트도-넘맛있음-블로그후기에-먹어본-초코케잌중-제일-맛있다는거를-봤었는데-저에게도-최,kakaomap,초코케이크 체리 절임이 진짜 맛나요 생크림도 안느끼하고 초코시트도 넘맛있음 블로그후기에 먹어본 초코케잌중 제일 맛있다는거를 봤었는데 저에게도 최애 초코케잌이 되었어요!!,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2025-07-28-처음부터-끝까지-맛있는-빵이에요-발효종이라-역시-맛이-다릅니다,kakaomap,처음부터 끝까지 맛있는 빵이에요~~ 발효종이라 역시 맛이 다릅니다^^,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2025-05-10-웬만하면-리뷰-잘-안-남기고-항상-데조로의집-빵-맛있게-잘-먹었던-사람입니다-케이크-예약해놓고-픽업하러-가서-바로-받았습니다-케이크-진열대,kakaomap,"웬만하면 리뷰 잘 안 남기고, 항상 데조로의집 빵 맛있게 잘 먹었던 사람입니다. 케이크 예약해놓고 픽업하러 가서 바로 받았습니다. 케이크 진열대 앞에서 픽업하러 왔다고 구석에 앉... 더보기",,,,,데조로의집,1,1,,,
km_25547664-리뷰어-이름-2024-12-29-여긴-빵들이-다-맛있어요-주차는-힘듦,kakaomap,여긴 빵들이 다 맛있어요~ 주차는 힘듦 ㅠ,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2024-02-03-실력있는-빵집-명성답게-정말-모든-빵이-맛있었다-비싼-가격에-어울리는-비싼맛-물론-재료도-아낌없이-넣으심-쿠키-한통에-900-더보기,kakaomap,실력있는 빵집. 명성답게 정말 모든 빵이 맛있었다. 비싼 가격에 어울리는 비싼맛. 물론 재료도 아낌없이 넣으심. 쿠키 한통에 900... 더보기,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2021-12-25-판교갈일이-있어-슈톨렌이랑-치즈빵-구매했어요-빵에-재료가-가득차있어서-넘-맛있네요,kakaomap,판교갈일이 있어 슈톨렌이랑 치즈빵 구매했어요 빵에 재료가 가득차있어서 넘 맛있네요,,,,,데조로의집,5,1,,,
km_25547664-리뷰어-이름-2020-07-06-맛있어요-짱짱,kakaomap,맛있어요! 짱짱!!,,,,,데조로의집,4,1,,,
km_25547664-리뷰어-이름-2018-07-13-담백한-빵-자체보단-요리-빵이-인기가-많아요-특별한-메뉴가-많으니-선택장애가-오네영-바질크런치베이글-입천장-까질-정도로-바삭한-베이글,kakaomap,담백한 빵 자체보단 요리?빵이 인기가 많아요. 특별한 메뉴가 많으니 선택장애가 오네영 - 바질크런치베이글 : 입천장 까질 정도로 바삭한 베이글... 더보기,,,,,데조로의집,3,1,,,
km_25547664-리뷰어-이름-2025-12-22-성남시-빵집-1-티어라고-생각합니다-직원들에게-빵-몇-번-사줬는데-모두-다-맛있다고-하네요-더보기,kakaomap,"성남시 빵집 1 티어라고 생각합니다. 직원들에게 빵 몇 번 사줬는데, 모두 다 맛있다고 하네요... 더보기",,,,,데조로의집,5,0,,,
