review_id,platform,review_text_raw,label,label_reason,annotator,annotated_at,store_or_product_name,rating,has_photo,event_flag_raw,reorder_count_raw,notes
823926817,coupang,"요거트 좋아해서 이것저것 많이 먹어보는데, 이 제품은 처음 한 입 먹자마자 속이 편안한 느낌이 들어서 좋았어요. 단맛이 과하지 않고 부드러워서 아침이나 간식으로 가볍게 먹기 딱이에요. 우유 맛도 깔끔하고 텁텁함 없이 잘 넘어가서 부담 없었고, 먹고 나서도 속이 더부룩하지 않아서 만족스러웠어요. 냉장고에 하나씩 넣어두고 생각날 때 꺼내 마시기 좋은 요거트예요. 전체적으로 자극적이지 않고 데일리로 먹기 좋은 제품이라 재구매 의사 있어요",리뷰,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
844958081,coupang,신랑이랑 저랑 매일 먹는 요구르트네요 처음 출시될때부터 먹었는데 이만한 가격대비 좋은 애는 없더라구요 먹기 부담 없구요 진하구요 심심할때 먹기도 좋구 여튼 맛있어요,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
840801100,coupang,여기 제품은 다 맛있어요. 유통기한 참고하세요.,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,1,,,
838807241,coupang,배도 안아프고 우유로 만들어서인지 든든해요 질감은 요플레처럼 묵직한편이예요 맛있고 든든하고 속이편하고 응가 잘싸서 자주 구매하고 있어요,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,1,,,
848804983,coupang,제일 입맛에 잘맞음 단백하고 적당히 달달하고 계속 재구매즁,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
840059823,coupang,맛있습니다 저번에 시켜먹어보고 맛이 괜찮아서 계속 시켜먹는 중입니다 화장실도 자주가고 좋아요 추천합니다,리뷰,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,1,,,
831375994,coupang,좋아요 맛도 좋고 당도 낮고 부담없이 먹을수 있어서 너무 좋아요 가격도 세일해서 먹을땐 저렴해서 좋네요 맛도 좋습니다 추천합니다,리뷰,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,1,,,
821783562,coupang,저희아이가 배에 가스도 엄청차고 똥이 안나와서 병원도 갔었는데 혹시나 싶어 이걸 마트에서 샀더니 먹자마자 바로 화장실을 가더라구요? 진짜 이건 대박이다 싶어 바로 구매했습니다 마트보다 좀 더 싸고 효과도 좋아 굉장히 만족하고있습니다 자주 시킬것같아요^^,리뷰,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
825147593,coupang,꾸준히 주문하는제품입니다 아침에일어나서 마시면 화장실잘가요 최고최고,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
823866016,coupang,소화가 정말 잘돼요 추천합니다 유당불내증 가진 사람,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
804176395,coupang,"이것저것 다구매해서 마시는데,, 이번엔 요근래 요걸로 계속 주문합니다",진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
788032687,coupang,소화가 잘되는것까진 몰라도 속이 불편하거나 부대끼진 않았습니다 평소 유제품이 소화가 잘 안되는 편이거든요,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
787358750,coupang,이마트 시식으로 두번사고 쿠팡도 있길래 계속 구매예정.,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,1,,,
774637978,coupang,유당불내증 있는 사람이 먹기에 너무 좋습니다 ! 맛도 있고 화장실도 편안하게 잘 가고 꾸륵거림도 없어서 좋아요!,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
754279143,coupang,덴마크 소화잘 시리즈로 새로 나온 요구르트 마트에서 사와서 마셨는데 너무 맘에 들어서 주문했어요!,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
759115811,coupang,5세 8세 아들들이 맛있어하고 배변활동도 수월하게 도움줘요,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
772776500,coupang,"배변 활동에 굿 입니다. 아주 잘 먹고 있어요.,,",진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
847413991,coupang,맛있고 상품도 좋았으나 유당불내증이 있는데 먹고나서 너무 힘들었어요.. 결국 못먹고 다 나눠줬습니다. 유당불내증 있다면 비추입니다.,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,3,0,,,
773775987,coupang,엇 못보던 제품이라 기대하고 구매했는데 너무 달고 무거운 느낌이어서 다 못먹었어요 돈아깝지만 ㅠㅠ,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,3,0,,,
834825594,coupang,맛도좋구 데일리로 매일 아침마다 먹어용!!,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,5,0,,,
855658406,coupang,일주일전 주문한 것과 금일 받은 것의 유통기한이 같아요.,진심,,,,덴마크 소화가 잘되는 우유로 만든 요구르트 장플러스 - 마시는 요구르트 | 쿠팡,2,0,,,
